,name,value
1092,concert,0.9950386
1093,music,0.99483824
1094,musician,0.98604745
1095,singer,0.9807094
1096,festival,0.962784
1097,band,0.9568249
1098,people,0.9517337
1099,stage,0.9399835
1100,performance,0.9987384
1101,music,0.99778545
1102,concert,0.99742377
1103,musician,0.9932885
1104,singer,0.99225163
1105,band,0.97642386
1106,stage,0.97517675
1107,pop music,0.95625377
1108,rap,0.9492929
1109,festival,0.9490204
1110,guitarist,0.94009864
1111,guitar,0.92990285
1112,performance,0.9988523
1113,music,0.9975773
1114,concert,0.9972868
1115,singer,0.9925988
1116,musician,0.9922798
1117,festival,0.9752842
1118,band,0.96726334
1119,stage,0.9598223
1120,pop music,0.92258143
1121,guitarist,0.92094123
1122,people,0.91058016
1123,performance,0.9977262
1124,music,0.99386835
1125,concert,0.9920371
1126,musician,0.9902781
1127,singer,0.98474157
1128,stringed instrument,0.9576515
1129,guitar,0.951417
1130,guitarist,0.94854534
1131,festival,0.94550943
1132,instrument,0.93454325
1133,stage,0.9333644
1134,people,0.931812
1135,band,0.9302505
1136,music,0.9926193
1137,musician,0.9908172
1138,concert,0.98771137
1139,performance,0.9869205
1140,band,0.9756559
1141,singer,0.9698688
1142,people,0.9522234
1143,guitar,0.9477734
1144,instrument,0.9454357
1145,guitarist,0.9363493
1146,stage,0.9293535
1147,festival,0.9004561
1148,no person,0.9822756
1149,graphic design,0.96422225
1150,dark,0.9558818
1151,science,0.9180218
1152,technology,0.91392386
1153,illuminated,0.90142846
1154,no person,0.9664835
1155,dark,0.9373142
1156,performance,0.9987811
1157,concert,0.9973295
1158,music,0.9966072
1159,musician,0.98926675
1160,singer,0.98644054
1161,festival,0.98063314
1162,band,0.95701253
1163,people,0.92060566
1164,rap,0.91113526
1165,stage,0.9071219
1166,guitar,0.9057876
1167,performance,0.994781
1168,music,0.9927269
1169,concert,0.99235046
1170,musician,0.98000467
1171,singer,0.97828114
1172,festival,0.9594139
1173,stage,0.9504757
1174,people,0.94661385
1175,band,0.944044
1176,guitar,0.9058365
1177,music,0.9996097
1178,performance,0.998677
1179,percussion instrument,0.9986551
1180,concert,0.99852526
1181,musician,0.9966195
1182,drum,0.996606
1183,instrument,0.9951068
1184,drummer,0.9946737
1185,band,0.9933485
1186,stage,0.9899074
1187,festival,0.9890144
1188,singer,0.976225
